Pit_0,Pit_1,Pit_2,Pit_3,Pit_4,Pit_5,Pit_6,Pit_7,Pit_8,Pit_9,Pit_10,Pit_11,Pit_12,Pit_13,Best_Move

Time: 5 min

5,5,5,4,4,4,0,4,4,0,5,0,6,2,1
5,0,6,5,5,5,1,4,4,0,5,0,6,2,4
6,1,7,6,1,7,2,5,0,2,6,1,0,4,0
0,2,8,7,2,8,3,5,0,2,6,1,0,4,4
0,2,8,7,0,9,4,5,0,2,6,1,0,4,5
1,2,8,7,0,0,7,0,2,0,9,4,0,8,3
2,3,0,1,2,2,9,1,3,0,0,5,0,20,4
2,3,0,1,0,3,10,1,3,0,0,5,0,20,3
3,4,1,0,0,3,14,1,0,0,0,0,1,21,0
0,5,2,1,0,3,14,0,1,0,0,0,0,22,2
