Pit_0,Pit_1,Pit_2,Pit_3,Pit_4,Pit_5,Pit_6,Pit_7,Pit_8,Pit_9,Pit_10,Pit_11,Pit_12,Pit_13,Best_Move

Time: 15 min

5,5,5,4,4,4,0,4,4,0,5,0,6,2,1
5,0,6,5,5,5,1,4,4,0,5,0,6,2,4
6,1,7,6,1,7,2,5,0,2,6,1,0,4,0
0,2,8,7,2,8,3,5,0,2,6,1,0,4,1
0,0,9,8,2,8,3,5,0,0,7,2,0,4,5
0,0,9,8,2,0,4,6,1,1,8,3,1,5,4
0,0,9,8,0,1,5,6,1,1,8,3,1,5,5
0,0,9,8,0,0,6,6,1,1,8,3,1,5,2
1,1,0,9,1,1,7,7,2,2,9,0,1,7,1
1,0,0,9,1,1,17,7,2,0,1,1,0,8,5
1,0,0,9,1,0,18,7,2,0,1,1,0,8,4
0,0,0,9,0,0,26,0,2,0,1,0,0,10,3
0,0,0,0,1,1,27,1,3,1,2,0,1,11,5
0,0,0,0,1,0,28,1,3,1,2,0,1,11,4
